,doc_id,author,authoryearofbirth,authoryearofdeath,no_words,len,Gut_id
0,The Observations of Henry: Illustrated,"Jerome, Jerome K. (Jerome Klapka)",1859.0,1927.0,22615,22615,Gut_29098
0,In a Toy Shop: A Christmas Play for Small Children,"Preston, Effa E. (Effa Estelle)",1884.0,1975.0,2831,2831,Gut_34515
0,An American Girl in London,"Duncan, Sara Jeannette",1861.0,1922.0,78842,78842,Gut_27754
0,The Story of My Life — Volume 06,"Ebers, Georg",1837.0,1898.0,20889,20889,Gut_35291
0,Animal Heroes,"Seton, Ernest Thompson",1860.0,1946.0,56229,56229,Gut_9484
0,Upon The Tree-Tops,"Miller, Olive Thorne",1831.0,1918.0,56741,56741,Gut_15696
0,Three Things,"Glyn, Elinor",1864.0,1943.0,24201,24201,Gut_11236
0,Captain January,"Richards, Laura Elizabeth Howe",1850.0,1943.0,18849,18849,Gut_40494
0,The Young Dragoon: Every Day Life of a Soldier,"Drayson, Alfred W. (Alfred Wilks)",1827.0,1901.0,69232,69232,Gut_20743
0,The Lady and the Pirate: Being the Plain Tale of a Diligent Pirate and a Fair Captive,"Hough, Emerson",1857.0,1923.0,91464,91464,Gut_11004
0,Kitty Canary: A Novel,"Bosher, Kate Langley",1865.0,1932.0,39626,39626,Gut_4995
0,The Editor's Relations with the Young Contributor (from Literature and Life),"Howells, William Dean",1837.0,1920.0,4830,4830,Gut_17909
0,Three Little Women's Success: A Story for Girls,"Jackson, Gabrielle E. (Gabrielle Emilie)",1861.0,,51028,51028,Gut_23300
0,The Three Miss Kings: An Australian Story,"Cambridge, Ada",1844.0,1926.0,134339,134339,Gut_31093
0,"Lulu's Library, Volume 3 (of 3)","Alcott, Louisa May",1832.0,1888.0,49702,49702,Gut_23556
0,The Flight of Pony Baker: A Boy's Town Story,"Howells, William Dean",1837.0,1920.0,42680,42680,Gut_9014
0,Phroso: A Romance,"Hope, Anthony",1863.0,1933.0,96679,96679,Gut_24541
0,A Round Dozen,"Coolidge, Susan",1835.0,1905.0,47778,47778,Gut_18979
0,Cottontail Rabbits in Relation to Trees and Farm Crops,"Lantz, David E. (David Ernest)",1855.0,1918.0,4374,4374,Gut_18377
0,Social Environment and Moral Progress,"Wallace, Alfred Russel",1823.0,1913.0,30598,30598,Gut_30945
0,Daisy,"Warner, Susan",1819.0,1885.0,122054,122054,Gut_6256
0,Elsie's New Relations: What They Did and How They Fared at Ion; A Sequel to Grandmother Elsie,"Finley, Martha",1828.0,1909.0,67134,67134,Gut_3516
0,"Canada in Flanders, Volume III","Roberts, Charles G. D., Sir",1860.0,1943.0,39043,39043,Gut_27906
0,The Tragedy of Pudd'nhead Wilson,"Twain, Mark",1835.0,1910.0,53096,53096,Gut_160
0,Mary Erskine,"Abbott, Jacob",1803.0,1879.0,38950,38950,Gut_3186
0,With Cochrane the Dauntless,"Henty, G. A. (George Alfred)",1832.0,1902.0,129917,129917,Gut_11800
0,Soldiers Three,"Kipling, Rudyard",1865.0,1936.0,88766,88766,Gut_38925
0,The Poor Plutocrats,"Jókai, Mór",1825.0,1904.0,102083,102083,Gut_6269
0,Memoirs of General William T. Sherman — Complete,"Sherman, William T. (William Tecumseh)",1820.0,1891.0,352154,352154,Gut_26023
0,Come Out of the Kitchen! A Romance,"Miller, Alice Duer",1874.0,1942.0,43520,43520,Gut_17300
0,Mademoiselle of Monte Carlo,"Le Queux, William",1864.0,1927.0,80868,80868,Gut_28529
0,"Dynevor Terrace; Or, The Clue of Life — Volume 2","Yonge, Charlotte M. (Charlotte Mary)",1823.0,1901.0,120658,120658,Gut_25004
0,Index of the Project Gutenberg Works of Sir Winston Spencer Churchill,"Churchill, Winston",1874.0,1965.0,7832,7832,Gut_37337
0,"Constantinople, v. 2 (of 2)","De Amicis, Edmondo",1846.0,1908.0,72165,72165,Gut_32477
0,The Water of the Wondrous Isles,"Morris, William",1834.0,1896.0,149162,149162,Gut_41185
0,Whosoever Shall Offend,"Crawford, F. Marion (Francis Marion)",1854.0,1909.0,98886,98886,Gut_2803
0,Historic Events of Colonial Days,"Holland, Rupert Sargent",1878.0,1952.0,77423,77423,Gut_25050
0,Fifteen Chapters of Autobiography,"Russell, George William Erskine",1853.0,1919.0,77025,77025,Gut_8505
0,The Shoemaker's Apron: A Second Book of Czechoslovak Fairy Tales and Folk Tales,"Fillmore, Parker",1878.0,1944.0,41496,41496,Gut_17192
0,The Belovéd Vagabond,"Locke, William John",1863.0,1930.0,84965,84965,Gut_13532
0,"I, the Unspeakable","Sheldon, Walter J.",1917.0,1996.0,11565,11565,Gut_31662
0,The Maid of Honour: A Tale of the Dark Days of France. Vol. 1 (of 3),"Wingfield, Lewis",1842.0,1891.0,38764,38764,Gut_22047
0,Elsket and Other Stories,"Page, Thomas Nelson",1853.0,1922.0,44762,44762,Gut_28925
0,The Caxtons: A Family Picture — Volume 16,"Lytton, Edward Bulwer Lytton, Baron",1803.0,1873.0,15083,15083,Gut_40291
0,Maggie Miller: The Story of Old Hagar's Secret,"Holmes, Mary Jane",1825.0,1907.0,80900,80900,Gut_937
0,"Adventures of Huckleberry Finn, Chapters 21 to 25","Twain, Mark",1835.0,1910.0,12977,12977,Gut_39857
